Dose,Response
0,0.040511562
0,0.538771288
0,2.443825249
0,4.859442438
0,0.318826617
0,1.657205575
0,0.001526107
0,4.75387125
0,16.89838551
0,26.3
50,1.289990145
50,0.088078809
50,2.966010743
50,9.642729816
50,0.030654897
50,0.000440626
50,0.09426973
50,0.015801013
50,0.00132343
50,50.2
100,9.997615483
100,31.00147956
100,4.19908189
100,1.17
100,33.09195409
100,8.004303396
100,20.38934945
100,17.32124365
100,20.3041536
100,20.79700446
150,28.46690121
150,67.72336605
150,56.0017494
150,48.5124649
150,35.251672
150,81.68520031
150,48.16359642
150,62.3975993
150,58.27449082
150,41.21255423
200,93.58019739
200,80.24518401
200,85.35246784
200,76.96948367
200,86.06427263
200,67.98911699
200,57.26348666
200,79.19087893
200,68.72276786
200,72.70934984
